14,1kmN3651E4474
755,1kmN3651E4476
2940,1kmN3651E4477
348,1kmN3651E4478
37,1kmN3651E4479
50,1kmN3652E4468
27,1kmN3652E4469
13,1kmN3652E4470
26,1kmN3652E4471
21,1kmN3652E4472
15,1kmN3652E4473
21,1kmN3652E4474
51,1kmN3652E4475
27,1kmN3652E4476
175,1kmN3652E4477
1221,1kmN3652E4478
703,1kmN3652E4479
35,1kmN3653E4468
49,1kmN3653E4469
52,1kmN3653E4470
468,1kmN3653E4471
585,1kmN3653E4472
27,1kmN3653E4473
44,1kmN3653E4474
28,1kmN3653E4475
52,1kmN3653E4476
919,1kmN3653E4477
3285,1kmN3653E4478
1465,1kmN3653E4479
526,1kmN3654E4469
396,1kmN3654E4470
2202,1kmN3654E4471
1764,1kmN3654E4472
42,1kmN3654E4473
66,1kmN3654E4474
29,1kmN3654E4475
5,1kmN3654E4476
231,1kmN3654E4477
401,1kmN3654E4478
591,1kmN3654E4479
27,1kmN3655E4469
837,1kmN3655E4470
1042,1kmN3655E4471
156,1kmN3655E4472
25,1kmN3655E4473
59,1kmN3655E4474
51,1kmN3655E4475
66,1kmN3655E4476
46,1kmN3655E4477
39,1kmN3655E4478
614,1kmN3656E4470
456,1kmN3656E4471
86,1kmN3656E4472
70,1kmN3656E4473
61,1kmN3656E4474
46,1kmN3656E4475
49,1kmN3657E4470
34,1kmN3657E4471
8,1kmN3657E4472
37,1kmN3657E4473
496,1kmN3655E4479
413,1kmN3655E4480
481,1kmN3656E4476
311,1kmN3656E4477
967,1kmN3656E4478
2856,1kmN3656E4479
1535,1kmN3656E4480
15,1kmN3657E4475
182,1kmN3657E4476
57,1kmN3657E4477
76,1kmN3657E4478
2732,1kmN3657E4479
1390,1kmN3657E4480
135,1kmN3657E4481
26,1kmN3658E4472
10,1kmN3658E4473
20,1kmN3658E4474
16,1kmN3658E4475
1,1kmN3658E4476
17,1kmN3658E4477
30,1kmN3658E4478
1042,1kmN3658E4479
99,1kmN3658E4480
708,1kmN3658E4481
235,1kmN3658E4482
8,1kmN3659E4471
45,1kmN3659E4472
304,1kmN3659E4473
101,1kmN3659E4474
29,1kmN3659E4475
16,1kmN3659E4476
28,1kmN3659E4477
87,1kmN3659E4478
16,1kmN3659E4479
640,1kmN3659E4480
2539,1kmN3659E4481
1975,1kmN3659E4482
123,1kmN3659E4483
